material_id,icsd_ids,tags,pseudo_potential,pretty_formula,elements,nelements,spacegroup,structure,energy,energy_per_atom,formation_energy_per_atom,final_energy_per_atom,e_above_hull,density,band_gap,total_magnetization,oxide_type,synthesis,orbital0,atomic_number0,atomic_radius0,atomic_radius_rahm0,atomic_weight0,boiling_point0,covalent_radius_pyykko0,density0,dipole_polarizability0,electron_affinity0,electrons0,en_pauling0,evaporation_heat0,fusion_heat0,glawe_number0,group0,heat_of_formation0,ionic_radii0,lattice_constant0,mass_number0,melting_point0,metallic_radius0,neutrons0,period0,proton_affinity0,protons0,oxistates0,series,specific_heat0,thermal_conductivity0,vdw_radius0,orbital1,atomic_number1,atomic_radius1,atomic_radius_rahm1,atomic_weight1,boiling_point1,covalent_radius_pyykko1,density1,dipole_polarizability1,electron_affinity1,electrons1,en_pauling1,evaporation_heat1,fusion_heat1,glawe_number1,group1,heat_of_formation1,ionic_radii1,lattice_constant1,mass_number1,melting_point1,metallic_radius1,neutrons1,period1,proton_affinity1,protons1,oxistates1,specific_heat1,thermal_conductivity1,vdw_radius1,orbital2,atomic_number2,atomic_radius2,atomic_radius_rahm2,atomic_weight2,boiling_point2,covalent_radius_pyykko2,density2,dipole_polarizability2,electron_affinity2,electrons2,en_pauling2,evaporation_heat2,fusion_heat2,glawe_number2,group2,heat_of_formation2,ionic_radii2,lattice_constant2,mass_number2,melting_point2,metallic_radius2,neutrons2,period2,proton_affinity2,protons2,oxistates2,specific_heat2,thermal_conductivity2,vdw_radius2
mp-1007636,[192106],['Potassium lutetium disulfide'],"{'functional': 'PBE', 'labels': ['K_sv', 'Lu_3', 'S'], 'pot_type': 'paw'}",KLuS2,"['K', 'Lu', 'S']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}","Full Formula (K1 Lu1 S2)
Reduced Formula: KLuS2
abc   :   7.688055   7.688055   7.688055
angles:  29.933301  29.933301  29.933296
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0         0         0                0
  1  Lu    0.5       0.5       0.5              0
  2  S     0.767179  0.767179  0.767179         0
  3  S     0.232821  0.232821  0.232821         0",-21.3948406,-5.34871015,-2.1241478498124993,-5.34871015,0.0,4.609769702579187,2.4628000000000005,0.0,None,solid state,1,19,220.0,234.0,39.0983,1047.0,196.0,0.856,289.7,0.50147,19,0.82,2.33,102.5,10,"<Group(symbol=IA, name=Alkali metals)>",89.0,150.0,5.23,39,336.8,203.0,20,4,,19,1.0,Nonmetals,0.753,79.0,275.0,-1,71,175.0,270.0,174.9668,3668.0,162.0,9.8404,137.0,0.34,71,1.0,414.0,,19,,427.6,95.66666666666667,3.51,175,1936.0,,104,6,992.0,71,3.0,0.155,,224.00000000000003,2,16,200.0,428.0,64.12,717.824,206.0,2.07,38.8,2.07710403,32,2.58,10.5,1.23,192,"<Group(symbol=VIA, name=Chalcogens)>",554.34,131.0,20.94,64,386.0,208.0,32,3,1328.6,32,2.5,0.732,0.27,360.0
mp-1008903,[187149],['Magnesium silver antimonide'],"{'functional': 'PBE', 'labels': ['Mg_pv', 'Ag', 'Sb'], 'pot_type': 'paw'}",MgAgSb,"['Mg', 'Ag', 'Sb']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}","Full Formula (Mg1 Ag1 Sb1)
Reduced Formula: MgAgSb
abc   :   4.644840   4.644840   4.644840
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Mg    0.5   0.5   0.5          0
  1  Ag    0.25  0.25  0.25        -0
  2  Sb    0     0     0           -0",-9.24592771,-3.0819759033333334,-0.292030138888889,-3.0819759033333334,0.0,5.950743766822866,0.0,0.0016574,None,solid state,-1,12,150.0,240.0,24.305,1363.0,139.0,1.738,71.2,,12,1.31,131.8,9.2,73,"<Group(symbol=IIA, name=Alkaline earths)>",147.1,71.0,3.21,24,922.0,136.0,12,3,819.6,12,2.0,Metalloids,1.025,156.0,173.0,1,47,160.0,225.0,107.8682,2485.0,128.0,10.5,55.0,1.3019999999999998,47,1.93,254.1,11.95,67,"<Group(symbol=IB, name=Coinage metals)>",284.9,96.18181818181819,4.09,107,1235.1,134.0,60,5,,47,1.5,0.237,429.0,211.0,2,51,145.0,246.0,121.76,1908.0,140.0,6.691,43.0,1.046,51,2.05,195.2,20.08,91,"<Group(symbol=VA, name=Pnictogens)>",264.4,73.0,4.51,121,903.9,139.0,70,5,,51,1.6666666666666667,0.205,24.43,206.0
mp-1016845,[],[],"{'functional': 'PBE', 'labels': ['Zr_sv', 'Cd', 'O'], 'pot_type': 'paw'}",ZrCdO3,"['Zr', 'Cd', 'O']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","Full Formula (Zr1 Cd1 O3)
Reduced Formula: ZrCdO3
abc   :   4.159472   4.159472   4.159472
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Zr    0.5  0.5  0.5    -0
  1  Cd    0    0    0      -0
  2  O     0.5  0.5  0       0
  3  O     0.5  0    0.5     0.001
  4  O     0    0.5  0.5     0.001",-34.69937185,-6.93987437,-2.4891796889999993,-6.93987437,0.34487509800000016,5.806339458576674,0.0,0.0017287,oxide,solid state,-1,40,155.0,269.0,91.224,4650.0,154.0,6.506,112.0,0.426,40,1.33,567.0,19.2,49,"<Group(symbol=IVB, name=)>",610.0,74.66666666666667,3.23,90,2125.0,145.0,50,5,,40,4.0,Nonmetals,0.281,22.7,223.0,-1,48,155.0,238.0,112.414,1038.0,136.0,8.65,46.0,,48,1.69,59.1,6.11,75,"<Group(symbol=IIB, name=)>",111.8,100.66666666666667,2.98,114,594.1,138.0,66,5,,48,2.0,0.232,96.9,218.00000000000003,2,8,180.0,513.0,47.997,90.19,189.0,1.149,15.899999999999999,1.4611135,24,3.44,3.4099,0.22259,291,"<Group(symbol=VIA, name=Chalcogens)>",747.687,414.59999999999997,20.490000000000002,48,54.8,,24,2,1455.6,24,-2.0,0.92,0.027,456.0
mp-1017000,[],[],"{'functional': 'PBE', 'labels': ['Mg_pv', 'Zr_sv', 'O'], 'pot_type': 'paw'}",MgZrO3,"['Mg', 'Zr', 'O']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","Full Formula (Mg1 Zr1 O3)
Reduced Formula: MgZrO3
abc   :   4.133326   4.133326   4.133326
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Mg    0    0    0           0
  1  Zr    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",-37.14071549,-7.428143098,-2.841970359,-7.428143098,0.6675464479999977,3.845387571401235,0.6429999999999998,0.0008381,oxide,solid state,-1,12,150.0,240.0,24.305,1363.0,139.0,1.738,71.2,,12,1.31,131.8,9.2,73,"<Group(symbol=IIA, name=Alkaline earths)>",147.1,71.0,3.21,24,922.0,136.0,12,3,819.6,12,2.0,Nonmetals,1.025,156.0,173.0,-1,40,155.0,269.0,91.224,4650.0,154.0,6.506,112.0,0.426,40,1.33,567.0,19.2,49,"<Group(symbol=IVB, name=)>",610.0,74.66666666666667,3.23,90,2125.0,145.0,50,5,,40,4.0,0.281,22.7,223.0,2,8,180.0,513.0,47.997,90.19,189.0,1.149,15.899999999999999,1.4611135,24,3.44,3.4099,0.22259,291,"<Group(symbol=VIA, name=Chalcogens)>",747.687,414.59999999999997,20.490000000000002,48,54.8,,24,2,1455.6,24,-2.0,0.92,0.027,456.0
mp-1019596,[164740],['Cerium(IV) zirconium oxide'],"{'functional': 'PBE', 'labels': ['Ce', 'Zr_sv', 'O'], 'pot_type': 'paw'}",CeZrO4,"['Ce', 'O', 'Zr']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4/nbm', 'number': 125, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'P 4 2 -1ab'}","Full Formula (Ce2 Zr2 O8)
Reduced Formula: CeZrO4
abc   :   5.387651   5.387651   5.303275
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ce    0         0         0                0
  1  Ce    0.5       0.5       0                0
  2  Zr    0.5       0         0.5             -0
  3  Zr    0         0.5       0.5             -0
  4  O     0.713702  0.786298  0.744833         0
  5  O     0.786298  0.286298  0.744833         0
  6  O     0.286298  0.213702  0.744833         0
  7  O     0.213702  0.713702  0.744833         0
  8  O     0.713702  0.213702  0.255167         0
  9  O     0.786298  0.713702  0.255167         0
 10  O     0.286298  0.786298  0.255167         0
 11  O     0.213702  0.286298  0.255167         0",-108.98648829,-9.0822073575,-3.828101723333333,-9.0822073575,0.04293829583333242,6.3716920222833355,2.0037000000000003,3e-07,oxide,solid state,-1,58,185.0,282.0,140.116,3699.0,163.0,6.757,205.0,0.65,58,1.12,398.0,5.2,31,,420.1,109.58999999999999,5.16,140,1072.0,,82,6,,58,3.5,Nonmetals,0.205,11.3,242.0,-1,40,155.0,269.0,91.224,4650.0,154.0,6.506,112.0,0.426,40,1.33,567.0,19.2,49,"<Group(symbol=IVB, name=)>",610.0,74.66666666666667,3.23,90,2125.0,145.0,50,5,,40,4.0,0.281,22.7,223.0,2,8,240.0,684.0,63.996,90.19,252.0,1.149,21.2,1.4611135,32,3.44,3.4099,0.22259,388,"<Group(symbol=VIA, name=Chalcogens)>",996.916,552.8,27.32,64,54.8,,32,2,1940.8,32,-2.0,0.92,0.027,608.0
mp-1019732,[237364],['Dialuminium europium tetraoxide'],"{'functional': 'PBE', 'labels': ['Eu', 'Al', 'O'], 'pot_type': 'paw'}",EuAl2O4,"['Al', 'Eu', 'O']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}","Full Formula (Eu4 Al8 O16)
Reduced Formula: EuAl2O4
abc   :   8.890451   5.207293   8.495308
angles:  86.628470  90.000000  90.000000
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Eu    0.499173  0.25378   0.512596     6.874
  1  Eu    0.999173  0.74622   0.487404     6.874
  2  Eu    0.49117   0.198286  0.973836     6.865
  3  Eu    0.99117   0.801714  0.026164     6.865
  4  Al    0.330094  0.70824   0.810515     0.001
  5  Al    0.830094  0.29176   0.189485     0.001
  6  Al    0.337297  0.726524  0.20135      0.001
  7  Al    0.837297  0.273476  0.79865      0.001
  8  Al    0.168234  0.221081  0.291423     0.001
  9  Al    0.668234  0.778919  0.708577     0.001
 10  Al    0.669386  0.80285   0.320178     0.001
 11  Al    0.169386  0.19715   0.679822     0.001
 12  O     0.67043   0.437459  0.732639    -0.009
 13  O     0.17043   0.562541  0.267361    -0.009
 14  O     0.816916  0.595471  0.26951     -0.007
 15  O     0.316916  0.404529  0.73049     -0.007
 16  O     0.990573  0.344622  0.671201    -0.007
 17  O     0.490573  0.655378  0.328799    -0.007
 18  O     0.483264  0.89767   0.735473    -0.01
 19  O     0.983264  0.10233   0.264527    -0.01
 20  O     0.79467   0.939069  0.830006    -0.008
 21  O     0.29467   0.060931  0.169994    -0.008
 22  O     0.164202  0.898538  0.794023    -0.009
 23  O     0.664202  0.101462  0.205977    -0.009
 24  O     0.718176  0.886972  0.513576    -0.012
 25  O     0.218176  0.113028  0.486424    -0.012
 26  O     0.383817  0.636824  0.009468    -0.01
 27  O     0.883817  0.363176  0.990532    -0.01",-234.85998185,-8.387856494642858,-3.412565186785714,-8.387856494642858,0.0,4.566559151170686,0.09890000000000043,6.999901925,oxide,solid state,-1,63,185.0,280.0,151.964,1870.0,168.0,5.243,184.0,0.8640000000000001,63,,176.0,,17,,177.4,115.69999999999999,4.61,153,1095.0,,90,6,,63,2.5,Nonmetals,0.176,13.9,235.0,2,13,250.0,478.0,53.963077,2740.0,252.0,2.6989,115.6,0.43283,26,1.61,284.1,10.75,156,"<Group(symbol=IIIA, name=Boron group)>",661.8,93.66666666666667,8.1,54,933.5,250.0,28,3,,26,3.0,0.9,237.0,368.0,2,8,240.0,684.0,63.996,90.19,252.0,1.149,21.2,1.4611135,32,3.44,3.4099,0.22259,388,"<Group(symbol=VIA, name=Chalcogens)>",996.916,552.8,27.32,64,54.8,,32,2,1940.8,32,-2.0,0.92,0.027,608.0
mp-1019967,[130022],"['LaSi3N5', 'CeSi3N5', 'Lanthanum pentanitridotrisilicate (1/5/3)']","{'functional': 'PBE', 'labels': ['La', 'Si', 'N'], 'pot_type': 'paw'}",LaSi3N5,"['La', 'N', 'Si']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_12_12_1', 'number': 19, 'point_group': '222', 'crystal_system': 'orthorhombic', 'hall': 'P 2ac 2ab'}","Full Formula (La4 Si12 N20)
Reduced Formula: LaSi3N5
abc   :   4.836324   7.903581  11.358846
angles:  90.000000  90.000000  90.000000
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.994825  0.940136  0.670061         0
  1  La    0.494825  0.559864  0.329939         0
  2  La    0.005175  0.440136  0.829939         0
  3  La    0.505175  0.059864  0.170061         0
  4  Si    0.486303  0.661946  0.660295         0
  5  Si    0.986303  0.838054  0.339705         0
  6  Si    0.513697  0.161946  0.839705         0
  7  Si    0.013697  0.338054  0.160295         0
  8  Si    0.483417  0.793215  0.916661         0
  9  Si    0.983417  0.706785  0.083339         0
 10  Si    0.516583  0.293215  0.583339         0
 11  Si    0.016583  0.206785  0.416661         0
 12  Si    0.976362  0.532879  0.540857         0
 13  Si    0.476362  0.967121  0.459143         0
 14  Si    0.023638  0.032879  0.959143         0
 15  Si    0.523638  0.467121  0.040857         0
 16  N     0.455028  0.842055  0.579217        -0
 17  N     0.955028  0.657945  0.420783        -0
 18  N     0.544972  0.342055  0.920783        -0
 19  N     0.044972  0.157945  0.079217        -0
 20  N     0.336669  0.706521  0.794333        -0
 21  N     0.836669  0.793479  0.205667        -0
 22  N     0.663331  0.206521  0.705667        -0
 23  N     0.163331  0.293479  0.294333        -0
 24  N     0.315327  0.48167   0.593019        -0
 25  N     0.815327  0.01833   0.406981        -0
 26  N     0.684673  0.98167   0.906981        -0
 27  N     0.184673  0.51833   0.093019        -0
 28  N     0.202823  0.8497    0.009751        -0
 29  N     0.702823  0.6503    0.990249        -0
 30  N     0.797177  0.3497    0.490249        -0
 31  N     0.297177  0.1503    0.509751        -0
 32  N     0.82888   0.610153  0.667347        -0
 33  N     0.32888   0.889847  0.332653        -0
 34  N     0.17112   0.110153  0.832653        -0
 35  N     0.67112   0.389847  0.167347        -0",-297.18862477,-8.255239576944444,-1.4675258225000007,-8.255239576944444,0.0,4.485313845742063,3.1226000000000003,5.8025e-05,None,solid state,-1,57,195.0,284.0,138.90547,3730.0,180.0,6.15,215.0,0.47,57,1.1,402.0,8.5,32,"<Group(symbol=IIIB, name=)>",431.0,118.96666666666665,3.75,139,1194.0,169.0,82,6,1013.0,57,3.0,Nonmetals,0.197,13.4,243.00000000000003,2,14,330.0,695.9999999999999,84.255,2628.0,347.99999999999994,2.33,111.89999999999999,1.3895211,42,1.9,383.0,50.6,255,"<Group(symbol=IVA, name=Carbon group)>",1350.0,99.0,16.29,84,1683.0,351.0,42,3,2511.0,42,0.6666666666666666,0.703,149.0,630.0,2,7,325.0,895.0,70.035,77.4,355.0,0.808,37.0,-1.4,35,3.04,,,440,"<Group(symbol=VA, name=Pnictogens)>",2362.2,205.75,20.195,70,63.29,,35,2,1711.0,35,1.125,,0.026,775.0
mp-10250,[45310],['Lithium barium fluoride'],"{'functional': 'PBE', 'labels': ['Ba_sv', 'Li_sv', 'F'], 'pot_type': 'paw'}",BaLiF3,"['Ba', 'Li', 'F']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","Full Formula (Ba1 Li1 F3)
Reduced Formula: BaLiF3
abc   :   4.052674   4.052674   4.052674
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ba    0    0    0          -0
  1  Li    0.5  0.5  0.5         0
  2  F     0    0.5  0.5         0
  3  F     0.5  0.5  0           0
  4  F     0.5  0    0.5         0",-26.92602846,-5.385205692,-3.7499395721666673,-5.385205692,0.014823899999999668,5.020979880537225,6.5716,3.9e-06,None,solid state,-1,56,215.0,293.0,137.327,1910.0,196.0,3.5,272.0,0.14462,56,0.89,142.0,7.66,14,"<Group(symbol=IIA, name=Alkaline earths)>",179.1,147.42857142857142,5.02,138,1002.0,198.0,82,6,,56,2.0,Halogens,0.192,,268.0,1,3,145.0,220.00000000000003,6.94,1118.15,133.0,0.534,164.1125,0.618049,3,0.98,148.0,2.89,12,"<Group(symbol=IA, name=Alkali metals)>",159.3,75.66666666666667,3.49,7,553.69,123.0,4,2,,3,1.0,3.489,84.8,182.0,2,9,150.0,489.0,56.995209489,85.01,192.0,1.108,11.22,3.4011897000000006,27,3.98,6.54,0.51,306,"<Group(symbol=VIIA, name=Halogens)>",238.005,318.29999999999995,,57,53.53,,30,2,1020.3000000000001,27,-1.0,,0.028,441.0
mp-1025377,[190587],"['Ag2CdI4 ht3', 'Disilver cadmium tetraiodide', 'Cu2HgI4']","{'functional': 'PBE', 'labels': ['Cd', 'Ag', 'I'], 'pot_type': 'paw'}",Cd(AgI2)2,"['Cd', 'Ag', 'I']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I-42m', 'number': 121, 'point_group': '-42m', 'crystal_system': 'tetragonal', 'hall': 'I -4 2'}","Full Formula (Cd1 Ag2 I4)
Reduced Formula: Cd(AgI2)2
abc   :   7.978390   7.978390   7.978390
angles: 131.290970 131.290970  71.351195
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0         0         0                0
  1  Ag    0.75      0.25      0.5              0
  2  Ag    0.25      0.75      0.5              0
  3  I     0.860615  0.377877  0               -0
  4  I     0.377877  0.860615  0               -0
  5  I     0.139385  0.139385  0.517262        -0
  6  I     0.622123  0.622123  0.482738        -0",-15.6556017,-2.2365145285714285,-0.6410784961904762,-2.2365145285714285,0.0,4.945339935418756,2.0050000000000003,0.0002515,None,solid state,-1,48,155.0,238.0,112.414,1038.0,136.0,8.65,46.0,,48,1.69,59.1,6.11,75,"<Group(symbol=IIB, name=)>",111.8,100.66666666666667,2.98,114,594.1,138.0,66,5,,48,2.0,Halogens,0.232,96.9,218.00000000000003,1,47,320.0,450.0,215.7364,2485.0,256.0,10.5,110.0,1.3019999999999998,94,1.93,254.1,11.95,134,"<Group(symbol=IB, name=Coinage metals)>",569.8,192.36363636363637,8.18,214,1235.1,268.0,120,5,,94,1.5,0.237,429.0,422.0,2,53,560.0,952.0,507.61788,457.5,532.0,4.93,131.6,3.0590368,212,2.66,41.95,15.52,396,"<Group(symbol=VIIA, name=Halogens)>",427.028,363.2,30.88,508,386.7,,296,5,2432.8,212,3.0,,,792.0
mp-1029258,[],['CNGMD Nitrides'],"{'functional': 'PBE', 'labels': ['Ca_sv', 'Zn', 'N'], 'pot_type': 'paw'}",Ca(ZnN)2,"['Ca', 'Zn', 'N']",3,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3m1', 'number': 164, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2""'}","Full Formula (Ca1 Zn2 N2)
Reduced Formula: Ca(ZnN)2
abc   :   3.479228   3.479228   6.046892
angles:  90.000000  90.000000 120.000003
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0         0         0.5              0
  1  Zn    0.666667  0.333333  0.139261         0
  2  Zn    0.333333  0.666667  0.860739         0
  3  N     0.666667  0.333333  0.75878          0
  4  N     0.333333  0.666667  0.24122          0",-23.09099391,-4.618198782,-0.5229833920000004,-4.618198782,0.0,5.210456297370589,0.6376,0.000283,None,solid state,-1,20,180.0,270.0,40.078,1757.0,171.0,1.55,160.8,0.02455,20,1.0,153.6,9.2,16,"<Group(symbol=IIA, name=Alkaline earths)>",177.8,115.5,5.58,40,1112.0,174.0,20,4,,20,2.0,Nonmetals,0.653,,231.0,-1,30,270.0,444.00000000000006,130.76,1180.0,236.0,7.133,77.34,,60,1.65,114.8,7.28,148,"<Group(symbol=IIB, name=)>",260.8,146.0,5.32,128,692.73,242.0,68,4,1217.2,60,2.0,0.388,116.0,401.99999999999994,2,7,130.0,358.0,28.014,77.4,142.0,0.808,14.8,-1.4,14,3.04,,,176,"<Group(symbol=VA, name=Pnictogens)>",944.88,82.3,8.078,28,63.29,,14,2,684.4,14,1.125,,0.026,310.0
